{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 0, 'end': 200, 'seed-data': 98539, 'seed-model': 77708, 'sum-ratio': 209.5166, 'sum-sq-ratio': 219.85835, 'sample-size': 200, 'sum-start': 145.0, 'sum-end': 145.0, 'sum-cov': 145.0}
{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 200, 'end': 400, 'seed-data': 98539, 'seed-model': 77708, 'sum-ratio': 208.90958, 'sum-sq-ratio': 218.55157, 'sample-size': 200, 'sum-start': 144.0, 'sum-end': 144.0, 'sum-cov': 144.0}
{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 400, 'end': 600, 'seed-data': 98539, 'seed-model': 77708, 'sum-ratio': 210.15604, 'sum-sq-ratio': 221.31235, 'sample-size': 200, 'sum-start': 150.0, 'sum-end': 150.0, 'sum-cov': 150.0}
{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 600, 'end': 800, 'seed-data': 98539, 'seed-model': 77708, 'sum-ratio': 209.72974, 'sum-sq-ratio': 220.31586, 'sample-size': 200, 'sum-start': 143.0, 'sum-end': 143.0, 'sum-cov': 143.0}
{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 800, 'end': 1000, 'seed-data': 98539, 'seed-model': 77708, 'sum-ratio': 209.54303, 'sum-sq-ratio': 219.95247, 'sample-size': 200, 'sum-start': 148.0, 'sum-end': 148.0, 'sum-cov': 148.0}
{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 1000, 'end': 1200, 'seed-data': 98539, 'seed-model': 77708, 'sum-ratio': 210.67102, 'sum-sq-ratio': 222.36723, 'sample-size': 200, 'sum-start': 139.0, 'sum-end': 139.0, 'sum-cov': 139.0}
{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 1200, 'end': 1400, 'seed-data': 98539, 'seed-model': 77708, 'sum-ratio': 208.51103, 'sum-sq-ratio': 217.71881, 'sample-size': 200, 'sum-start': 153.0, 'sum-end': 153.0, 'sum-cov': 153.0}
{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 1400, 'end': 1600, 'seed-data': 98539, 'seed-model': 77708, 'sum-ratio': 210.58893, 'sum-sq-ratio': 222.25153, 'sample-size': 200, 'sum-start': 141.0, 'sum-end': 141.0, 'sum-cov': 141.0}
{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 1600, 'end': 1800, 'seed-data': 98539, 'seed-model': 77708, 'sum-ratio': 208.20607, 'sum-sq-ratio': 217.09476, 'sample-size': 200, 'sum-start': 156.0, 'sum-end': 156.0, 'sum-cov': 156.0}
{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 1800, 'end': 2000, 'seed-data': 98539, 'seed-model': 77708, 'sum-ratio': 209.29025, 'sum-sq-ratio': 219.44453, 'sample-size': 200, 'sum-start': 142.0, 'sum-end': 142.0, 'sum-cov': 142.0}
{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 2000, 'end': 2200, 'seed-data': 98539, 'seed-model': 77708, 'sum-ratio': 209.84383, 'sum-sq-ratio': 220.69469, 'sample-size': 200, 'sum-start': 150.0, 'sum-end': 150.0, 'sum-cov': 150.0}
{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 2200, 'end': 2400, 'seed-data': 98539, 'seed-model': 77708, 'sum-ratio': 209.73898, 'sum-sq-ratio': 220.44662, 'sample-size': 200, 'sum-start': 149.0, 'sum-end': 149.0, 'sum-cov': 149.0}
{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 2400, 'end': 2600, 'seed-data': 98539, 'seed-model': 77708, 'sum-ratio': 208.61784, 'sum-sq-ratio': 217.95026, 'sample-size': 200, 'sum-start': 151.0, 'sum-end': 151.0, 'sum-cov': 151.0}
{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 2600, 'end': 2800, 'seed-data': 98539, 'seed-model': 77708, 'sum-ratio': 210.28677, 'sum-sq-ratio': 221.58624, 'sample-size': 200, 'sum-start': 137.0, 'sum-end': 137.0, 'sum-cov': 137.0}
