{'algo': 'baseline', 'seed': (98539, 77708), 'lr': 0.07, 'accuracy': 0.6647727272727273, 'lb': 1.512740398545258, 'pval': 0.0, 'bal_acc': 0.6613815270873902, 'gap_rms_gen': 0.04604614641407245, 'mean_gap_gen': 0.040228600206439896, 'max_gap_gen': 0.0626318884699208, 'average_odds_difference_gen': 0.040228600206439896, 'equal_opportunity_difference_gen': 0.017825311942959, 'statistical_parity_difference_gen': 0.10118941847467833, 'gap_rms_race': 0.22772961583064807, 'mean_gap_race': 0.22531250768336675, 'max_gap_race': 0.2584040747028863, 'average_odds_difference_race': 0.22531250768336675, 'equal_opportunity_difference_race': 0.2584040747028863, 'statistical_parity_difference_race': 0.27140859513377463}
{'algo': 'baseline', 'seed': (98539, 77708), 'lr': 0.06, 'accuracy': 0.6714015151515151, 'lb': 1.415372492824102, 'pval': 1.9984014443252818e-15, 'bal_acc': 0.6718828174773147, 'gap_rms_gen': 0.1315490159106942, 'mean_gap_gen': 0.12893258381036934, 'max_gap_gen': 0.15503875968992248, 'average_odds_difference_gen': 0.12893258381036934, 'equal_opportunity_difference_gen': 0.10282640793081621, 'statistical_parity_difference_gen': 0.1895113017064236, 'gap_rms_race': 0.20398055430143627, 'mean_gap_race': 0.20225193873700947, 'max_gap_race': 0.2287513691128149, 'average_odds_difference_race': 0.20225193873700947, 'equal_opportunity_difference_race': 0.2287513691128149, 'statistical_parity_difference_race': 0.2429383797893167}
{'algo': 'baseline', 'seed': (98539, 77708), 'lr': 0.065, 'accuracy': 0.6714015151515151, 'lb': 1.515252158262405, 'pval': 0.0, 'bal_acc': 0.6728870539876108, 'gap_rms_gen': 0.10086704896230994, 'mean_gap_gen': 0.09676638629945294, 'max_gap_gen': 0.12523440430053756, 'average_odds_difference_gen': 0.09676638629945294, 'equal_opportunity_difference_gen': 0.12523440430053756, 'statistical_parity_difference_gen': 0.13340948029697314, 'gap_rms_race': 0.19175412452451288, 'mean_gap_race': 0.17346171068542224, 'max_gap_race': 0.25519713261648747, 'average_odds_difference_race': 0.17346171068542224, 'equal_opportunity_difference_race': 0.25519713261648747, 'statistical_parity_difference_race': 0.20260634374231623}
{'algo': 'baseline', 'seed': (5192, 98047), 'lr': 0.07, 'accuracy': 0.6808712121212122, 'lb': 1.5501763659272647, 'pval': 0.0, 'bal_acc': 0.6762525060920082, 'gap_rms_gen': 0.1333489087268802, 'mean_gap_gen': 0.13167636888828688, 'max_gap_gen': 0.15273023634881824, 'average_odds_difference_gen': 0.13167636888828688, 'equal_opportunity_difference_gen': 0.11062250142775554, 'statistical_parity_difference_gen': 0.18380283515173507, 'gap_rms_race': 0.17342957352677935, 'mean_gap_race': 0.1703813909473651, 'max_gap_race': 0.20275419732126015, 'average_odds_difference_race': 0.1703813909473651, 'equal_opportunity_difference_race': 0.20275419732126015, 'statistical_parity_difference_race': 0.2194751241260513}
{'algo': 'baseline', 'seed': (5192, 98047), 'lr': 0.06, 'accuracy': 0.6373106060606061, 'lb': 1.4999854201809368, 'pval': 0.0, 'bal_acc': 0.6326528041234887, 'gap_rms_gen': 0.12246687088609982, 'mean_gap_gen': 0.12086435141490968, 'max_gap_gen': 0.14061132641580198, 'average_odds_difference_gen': 0.12086435141490968, 'equal_opportunity_difference_gen': 0.14061132641580198, 'statistical_parity_difference_gen': 0.1525738058242695, 'gap_rms_race': 0.17352999934128552, 'mean_gap_race': 0.17168598329755472, 'max_gap_race': 0.19691659586519394, 'average_odds_difference_race': 0.17168598329755472, 'equal_opportunity_difference_race': 0.19691659586519394, 'statistical_parity_difference_race': 0.18748115540010857}
{'algo': 'baseline', 'seed': (5192, 98047), 'lr': 0.065, 'accuracy': 0.6524621212121212, 'lb': 1.5211332161841606, 'pval': 0.0, 'bal_acc': 0.6518736749657156, 'gap_rms_gen': 0.0961489822205405, 'mean_gap_gen': 0.09614542357390932, 'max_gap_gen': 0.09697265258656262, 'average_odds_difference_gen': 0.09614542357390932, 'equal_opportunity_difference_gen': 0.09531819456125601, 'statistical_parity_difference_gen': 0.11657242279251845, 'gap_rms_race': 0.2208685293595308, 'mean_gap_race': 0.21765317976384252, 'max_gap_race': 0.2552031544659695, 'average_odds_difference_race': 0.21765317976384252, 'equal_opportunity_difference_race': 0.2552031544659695, 'statistical_parity_difference_race': 0.23292104446513273}
{'algo': 'baseline', 'seed': (50057, 73349), 'lr': 0.07, 'accuracy': 0.6732954545454546, 'lb': 1.4947123880788795, 'pval': 0.0, 'bal_acc': 0.6730022352361036, 'gap_rms_gen': 0.11805277767207271, 'mean_gap_gen': 0.10315067968966735, 'max_gap_gen': 0.16056492527080757, 'average_odds_difference_gen': 0.10315067968966735, 'equal_opportunity_difference_gen': 0.16056492527080757, 'statistical_parity_difference_gen': 0.14050099572753116, 'gap_rms_race': 0.2063973849822201, 'mean_gap_race': 0.1971601809881966, 'max_gap_race': 0.2582154310507451, 'average_odds_difference_race': 0.1971601809881966, 'equal_opportunity_difference_race': 0.2582154310507451, 'statistical_parity_difference_race': 0.2354831375521031}
{'algo': 'baseline', 'seed': (50057, 73349), 'lr': 0.06, 'accuracy': 0.6534090909090909, 'lb': 1.4265043365218069, 'pval': 0.0, 'bal_acc': 0.6484164378039255, 'gap_rms_gen': 0.03449410375231096, 'mean_gap_gen': 0.032428395540142194, 'max_gap_gen': 0.04418604651162791, 'average_odds_difference_gen': 0.032428395540142194, 'equal_opportunity_difference_gen': 0.020670744568656474, 'statistical_parity_difference_gen': 0.08314124899490749, 'gap_rms_race': 0.18800625630190176, 'mean_gap_race': 0.18612759406211604, 'max_gap_race': 0.21263931104356631, 'average_odds_difference_race': 0.18612759406211604, 'equal_opportunity_difference_race': 0.21263931104356631, 'statistical_parity_difference_race': 0.22542062682510977}
{'algo': 'baseline', 'seed': (50057, 73349), 'lr': 0.065, 'accuracy': 0.6808712121212122, 'lb': 1.4974408082501383, 'pval': 0.0, 'bal_acc': 0.676475669760963, 'gap_rms_gen': 0.103223951721842, 'mean_gap_gen': 0.09522616763491397, 'max_gap_gen': 0.13506535947712422, 'average_odds_difference_gen': 0.09522616763491397, 'equal_opportunity_difference_gen': 0.13506535947712422, 'statistical_parity_difference_gen': 0.1412411696324779, 'gap_rms_race': 0.21301172811451355, 'mean_gap_race': 0.20859225019133948, 'max_gap_race': 0.251757855416392, 'average_odds_difference_race': 0.20859225019133948, 'equal_opportunity_difference_race': 0.251757855416392, 'statistical_parity_difference_race': 0.24555003884216564}
{'algo': 'baseline', 'seed': (21440, 98448), 'lr': 0.07, 'accuracy': 0.6723484848484849, 'lb': 1.593034237636378, 'pval': 0.0, 'bal_acc': 0.6686487439844793, 'gap_rms_gen': 0.11564042485901595, 'mean_gap_gen': 0.10884269330641187, 'max_gap_gen': 0.14790643577151724, 'average_odds_difference_gen': 0.10884269330641187, 'equal_opportunity_difference_gen': 0.14790643577151724, 'statistical_parity_difference_gen': 0.14235119588608147, 'gap_rms_race': 0.20137622931592736, 'mean_gap_race': 0.20136825387282212, 'max_gap_race': 0.20316047755072153, 'average_odds_difference_race': 0.20136825387282212, 'equal_opportunity_difference_race': 0.20316047755072153, 'statistical_parity_difference_race': 0.24062499999999998}
{'algo': 'baseline', 'seed': (21440, 98448), 'lr': 0.06, 'accuracy': 0.665719696969697, 'lb': 1.4520927113137394, 'pval': 7.771561172376096e-16, 'bal_acc': 0.6620528178012619, 'gap_rms_gen': 0.11807149392997432, 'mean_gap_gen': 0.10731228163614603, 'max_gap_gen': 0.15655608214849925, 'average_odds_difference_gen': 0.10731228163614603, 'equal_opportunity_difference_gen': 0.15655608214849925, 'statistical_parity_difference_gen': 0.13993661840551797, 'gap_rms_race': 0.2577139882338337, 'mean_gap_race': 0.251089355871439, 'max_gap_race': 0.3091465268277854, 'average_odds_difference_race': 0.251089355871439, 'equal_opportunity_difference_race': 0.3091465268277854, 'statistical_parity_difference_race': 0.2890281658234539}
{'algo': 'baseline', 'seed': (21440, 98448), 'lr': 0.065, 'accuracy': 0.6770833333333334, 'lb': 1.5253195106300375, 'pval': 0.0, 'bal_acc': 0.6734557614020438, 'gap_rms_gen': 0.0933788391573783, 'mean_gap_gen': 0.09020392625169767, 'max_gap_gen': 0.11434640522875827, 'average_odds_difference_gen': 0.09020392625169767, 'equal_opportunity_difference_gen': 0.11434640522875827, 'statistical_parity_difference_gen': 0.12653383404692992, 'gap_rms_race': 0.22640651813709706, 'mean_gap_race': 0.2262716989286217, 'max_gap_race': 0.234083850931677, 'average_odds_difference_race': 0.2262716989286217, 'equal_opportunity_difference_race': 0.234083850931677, 'statistical_parity_difference_race': 0.266576133084366}
{'algo': 'baseline', 'seed': (20609, 49100), 'lr': 0.07, 'accuracy': 0.6458333333333334, 'lb': 1.4132324477883391, 'pval': 0.0, 'bal_acc': 0.6451661669480209, 'gap_rms_gen': 0.1355999053862565, 'mean_gap_gen': 0.12820902578617138, 'max_gap_gen': 0.1723653395784543, 'average_odds_difference_gen': 0.12820902578617138, 'equal_opportunity_difference_gen': 0.1723653395784543, 'statistical_parity_difference_gen': 0.15299976199630178, 'gap_rms_race': 0.23447900362462354, 'mean_gap_race': 0.23209979888859705, 'max_gap_race': 0.2654177594604721, 'average_odds_difference_race': 0.23209979888859705, 'equal_opportunity_difference_race': 0.2654177594604721, 'statistical_parity_difference_race': 0.26695111177941094}
{'algo': 'baseline', 'seed': (20609, 49100), 'lr': 0.06, 'accuracy': 0.6496212121212122, 'lb': 1.4341253753880505, 'pval': 0.0, 'bal_acc': 0.6504177119964869, 'gap_rms_gen': 0.10368404809247013, 'mean_gap_gen': 0.09797872730992196, 'max_gap_gen': 0.13189849770374407, 'average_odds_difference_gen': 0.09797872730992196, 'equal_opportunity_difference_gen': 0.06405895691609986, 'statistical_parity_difference_gen': 0.15844996316952542, 'gap_rms_race': 0.23638507409025794, 'mean_gap_race': 0.23556966743227525, 'max_gap_race': 0.2551868802440885, 'average_odds_difference_race': 0.23556966743227525, 'equal_opportunity_difference_race': 0.2551868802440885, 'statistical_parity_difference_race': 0.275326797385621}
{'algo': 'baseline', 'seed': (20609, 49100), 'lr': 0.065, 'accuracy': 0.6571969696969697, 'lb': 1.4472967435006483, 'pval': 0.0, 'bal_acc': 0.65668069238328, 'gap_rms_gen': 0.18433344580026265, 'mean_gap_gen': 0.1841970958250185, 'max_gap_gen': 0.19128575791509722, 'average_odds_difference_gen': 0.1841970958250185, 'equal_opportunity_difference_gen': 0.17710843373493979, 'statistical_parity_difference_gen': 0.2244790292798734, 'gap_rms_race': 0.19163407743806632, 'mean_gap_race': 0.18662837866041254, 'max_gap_race': 0.23014237542150617, 'average_odds_difference_race': 0.18662837866041254, 'equal_opportunity_difference_race': 0.23014237542150617, 'statistical_parity_difference_race': 0.217096118892334}
{'algo': 'baseline', 'seed': (7751, 43757), 'lr': 0.07, 'accuracy': 0.678030303030303, 'lb': 1.3607120318924406, 'pval': 2.94320123828129e-13, 'bal_acc': 0.6746849612883024, 'gap_rms_gen': 0.038330447254704934, 'mean_gap_gen': 0.02795287790467929, 'max_gap_gen': 0.05417995939675174, 'average_odds_difference_gen': 0.02795287790467929, 'equal_opportunity_difference_gen': 0.0017257964126068392, 'statistical_parity_difference_gen': 0.062190600927919726, 'gap_rms_race': 0.20347516020436598, 'mean_gap_race': 0.20347500452270395, 'max_gap_race': 0.20372670807453414, 'average_odds_difference_race': 0.20347500452270395, 'equal_opportunity_difference_race': 0.20372670807453414, 'statistical_parity_difference_race': 0.23596905006059476}
{'algo': 'baseline', 'seed': (7751, 43757), 'lr': 0.06, 'accuracy': 0.696969696969697, 'lb': 1.3719705796768733, 'pval': 0.0, 'bal_acc': 0.6972604859928804, 'gap_rms_gen': 0.1597578185034805, 'mean_gap_gen': 0.1572424808925228, 'max_gap_gen': 0.18548009367681506, 'average_odds_difference_gen': 0.1572424808925228, 'equal_opportunity_difference_gen': 0.18548009367681506, 'statistical_parity_difference_gen': 0.19963683684895434, 'gap_rms_race': 0.16284831107349232, 'mean_gap_race': 0.16170782999993613, 'max_gap_race': 0.1809471162704993, 'average_odds_difference_race': 0.16170782999993613, 'equal_opportunity_difference_race': 0.1809471162704993, 'statistical_parity_difference_race': 0.2107737997030193}
